         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  978/141    0.003    0.000    0.697    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
       20    0.003    0.000    0.003    0.000 {built-in method torch.argmax}
     1497    0.003    0.000    0.005    0.000 /usr/lib/python3.8/functools.py:34(update_wrapper)
      154    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
    11881    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
2809/2805    0.002    0.000    0.005    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:844(is_safe_constant)
      172    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:451(__init__)
    13052    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
31267/30913    0.002    0.000    0.004    0.000 {built-in method builtins.hash}
   357/38    0.002    0.000    0.004    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      809    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
    12939    0.002    0.000    0.010    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:43(edge)
      960    0.002    0.000    0.002    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
      678    0.002    0.000    0.039    0.000 /usr/lib/python3.8/dataclasses.py:375(_create_fn)
  3260/20    0.002    0.000    0.823    0.041 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1507(_wrapped_call_impl)
      951    0.002    0.000    0.006    0.000 /usr/lib/python3.8/dataclasses.py:669(_get_field)
      162    0.002    0.000    0.004    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/modeling_utils.py:605(<listcomp>)
    13254    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:15(<genexpr>)
      342    0.002    0.000    0.005    0.000 /usr/lib/python3.8/inspect.py:2124(_signature_from_function)
   883/70    0.002    0.000    0.695    0.010 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    24412    0.002    0.000    0.002    0.000 {built-in method builtins.id}
    14353    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
     7027    0.002    0.000    0.003    0.000 {built-in method builtins.max}
   809/70    0.002    0.000    0.688    0.010 <frozen importlib._bootstrap>:650(_load_unlocked)
      160    0.002    0.000    0.003    0.000 {method 'get_tensor' of 'builtins.safe_open' objects}
      264    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
7547/1323    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:2333(named_modules)
  674/375    0.002    0.000    0.015    0.000 /usr/lib/python3.8/inspect.py:2218(_signature_from_callable)
     3742    0.002    0.000    0.020    0.000 /usr/lib/python3.8/re.py:289(_compile)
      240    0.002    0.000    0.002    0.000 {built-in method torch.split}
        1    0.002    0.002    0.005    0.005 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/regex/_regex_core.py:16(<module>)
    11758    0.002    0.000    0.002    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
     3659    0.002    0.000    0.002    0.000 {method 'size' of 'torch._C.TensorBase' objects}
     8986    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:142(__getattr__)
      885    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      240    0.002    0.000    0.059    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:353(forward)
     3261    0.002    0.000    0.002    0.000 {built-in method torch._C._get_tracing_state}
     1411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     5745    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:463(istype)
      674    0.002    0.000    0.002    0.000 /usr/lib/python3.8/inspect.py:2772(__init__)
     8698    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:315(<listcomp>)
