         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8986    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:142(__getattr__)
     3742    0.002    0.000    0.023    0.000 /usr/lib/python3.8/re.py:289(_compile)
      160    0.002    0.000    0.003    0.000 {method 'get_tensor' of 'builtins.safe_open' objects}
     3679    0.002    0.000    0.002    0.000 {method 'size' of 'torch._C.TensorBase' objects}
      240    0.002    0.000    0.062    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/modeling_gpt2.py:353(forward)
      714    0.002    0.000    0.002    0.000 /usr/lib/python3.8/inspect.py:2772(__init__)
       38    0.002    0.000    0.005    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:76(_consume_token_id)
       20    0.002    0.000    0.002    0.000 {method 'cumsum' of 'torch._C.TensorBase' objects}
     5745    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/utils.py:463(istype)
     1411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     8698    0.002    0.000    0.002    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:315(<listcomp>)
     3711    0.002    0.000    0.015    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/package/package_importer.py:695(_patched_getfile)
       20    0.002    0.000    0.002    0.000 {method 'prod' of 'torch._C.TensorBase' objects}
     6569    0.002    0.000    0.002    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
     1411    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
       89    0.002    0.000    0.012    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/sympy/multipledispatch/conflict.py:62(<listcomp>)
      740    0.002    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/functional.py:1252(dropout)
     1612    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1374    0.001    0.000    0.003    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/nn/modules/module.py:1785(_save_to_state_dict)
2123/2030    0.001    0.000    0.012    0.000 /usr/lib/python3.8/typing.py:255(inner)
      812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     2689    0.001    0.000    0.003    0.000 /usr/lib/python3.8/typing.py:762(__setattr__)
        4    0.001    0.000    0.014    0.003 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/utils/_config_module.py:73(get_assignments_with_compile_ignored_comments)
   159/48    0.001    0.000    0.008    0.000 /usr/lib/python3.8/copy.py:226(_deepcopy_dict)
     1278    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
